Institution Name,Students enrolled exclusively in distance education courses (EF2018A_DIST  Undergraduate total),Students enrolled in some but not all distance education courses (EF2018A_DIST  Undergraduate total),Student not enrolled in any distance education courses (EF2018A_DIST  Undergraduate total),Students enrolled exclusively in distance education courses (EF2018A_DIST  Graduate),Students enrolled in some but not all distance education courses (EF2018A_DIST  Graduate),Student not enrolled in any distance education courses (EF2018A_DIST  Graduate),Students enrolled exclusively in distance education courses (EF2017A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2017A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2017A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2017A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2017A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2017A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2016A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2016A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2016A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2016A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2016A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2016A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2015A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2015A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2015A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2015A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2015A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2015A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2014A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2014A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2014A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2014A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2014A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2014A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2013A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2013A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2013A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2013A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2013A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2013A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2012A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2012A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2012A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2012A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2012A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2012A_DIST_RV  Graduate)
Educational Technical College-Recinto de Bayamon,NA,NA,149,NA,NA,NA,NA,NA,383,NA,NA,NA,NA,NA,293,NA,NA,NA,NA,NA,431,NA,NA,NA,0,0,497,NA,NA,NA,0,0,225,NA,NA,NA,0,0,474,NA,NA,NA
A T Still University of Health Sciences,NA,NA,NA,1532,0,2185,NA,NA,NA,1565,0,2158,NA,NA,NA,1421,2148,0,NA,NA,NA,1271,0,2086,NA,NA,NA,1183,0,2043,NA,NA,NA,1330,0,1984,NA,NA,NA,1196,0,1945
Aaniiih Nakoda College,NA,NA,150,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,219,NA,NA,NA,NA,NA,291,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,221,NA,NA,NA
ABC Adult School,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABC Beauty Academy,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,0,0,30,NA,NA,NA,0,0,35,NA,NA,NA,0,NA,48,NA,NA,NA
ABCO Technology,NA,NA,65,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcott Institute,NA,NA,60,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,132,NA,NA,NA,0,0,136,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,NA,159,NA,NA,NA
Abdill Career College Inc,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,41,NA,NA,NA,0,0,80,NA,NA,NA,0,0,76,NA,NA,NA
Abilene Christian University,32,460,3046,1286,46,334,20,341,3305,1033,69,377,1,257,3500,729,48,375,14,229,3517,371,28,385,15,152,3483,348,13,416,12,136,3579,322,26,386,17,152,3457,314,15,412
Abraham Baldwin Agricultural College,377,833,3081,NA,NA,NA,114,442,2838,NA,NA,NA,99,399,2977,NA,NA,NA,65,249,3079,NA,NA,NA,39,119,3300,NA,NA,NA,25,222,3147,NA,NA,NA,0,267,2966,NA,NA,NA
Abraham Lincoln University,47,NA,NA,170,NA,NA,30,NA,NA,167,NA,NA,25,NA,NA,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
